1	merkazit_krayot	1	-1.#IND	1.#INF	1.00006	0	0.0166667	-1.#IND	-1.#IND	1	0	0	0	-1.#IND	89.9983	-1.#IND	0	
83	shprintzak	11	180.151	5.21123	1532.78	0	0	40.2176	0.341289	0	1	0	0	0	0	0	0	
84	ein_hayam	11	180.447	5.21123	2063.7	0	0	43.1	0.341289	0	1	0	0	0	0	0	0	
85	hatoren	11	180.459	5.21123	2730.49	0	0	43.2905	0.341289	0	1	0	0	0	0	0	0	
86	alenbi	11	180.009	5.21123	3412.41	0	0	44.4099	0.341289	0	1	0	0	0	0	0	0	
87	kiryat_eliezer	11	180.033	5.21123	5165.99	0	0	44.8436	0.341289	0	1	0	0	0	0	0	0	
88	dolfin	11	179.967	5.27297	6118.45	0	0	51.4815	0.399449	0	1	0	0	0	0	0	0	
88	dolfin	22	300.009	5.17296	6.61417	0	0	0.355311	0.287653	1	0	0	0	0	0	0	0	
89	lin	11	179.975	5.27297	7193.92	0	0	50.928	0.399449	0	1	0	0	0	0	0	0	
89	lin	22	300.003	5.17296	72.9449	0	0	2.97692	0.287653	0	1	0	0	0	0	0	0	
90	hameginim	11	180.034	5.29532	8349.75	0	0	50.9735	0.431524	0	1	0	0	0	0	0	0	
90	hameginim	22	299.959	5.17296	245.104	0	0	4.78613	0.287653	0	1	0	0	0	0	0	0	
91	moshava_germanit	11	180.021	5.29532	9586.33	0	0	50.8037	0.431524	0	1	0	0	0	0	0	0	
91	moshava_germanit	22	299.875	5.17296	510.082	0	0	6.71933	0.287653	0	1	0	0	0	0	0	0	
92	ben_gurion	11	180.003	5.29532	10913.7	0	0	50.9694	0.431524	0	1	0	0	0	0	0	0	
92	ben_gurion	22	299.961	5.17296	877.553	0	0	7.24179	0.287653	0	1	0	0	0	0	0	0	
93	rakevet_merkaz	11	180.031	5.29296	12323.6	0	0	50.8066	0.424942	0	1	0	0	0	0	0	0	
93	rakevet_merkaz	22	299.979	5.17296	1339.44	0	0	7.31858	0.287653	0	1	0	0	0	0	0	0	
94	carmelit_atzmaut	11	180.088	5.29532	13805.7	0	0	51.2781	0.431524	0	1	0	0	0	0	0	0	
94	carmelit_atzmaut	22	300.098	5.21206	1885.68	0	0	7.82627	0.387142	0	1	0	0	0	0	0	0	
95	kiryat_memshala_atzmaut	11	180.08	5.29532	15385.5	0	0	51.7678	0.431524	0	1	0	0	0	0	0	0	
95	kiryat_memshala_atzmaut	22	300.091	5.21206	2541.61	0	0	7.93582	0.387142	0	1	0	0	0	0	0	0	
96	vadi_salib	11	180.049	5.29532	17031.8	0	0	51.211	0.431524	0	1	0	0	0	0	0	0	
96	vadi_salib	22	300.186	5.21206	3275.97	0	0	8.2047	0.387142	0	1	0	0	0	0	0	0	
97	hatahanot_hagdolot	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
97	hatahanot_hagdolot	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
98	mate_hamishtara	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
98	mate_hamishtara	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
99	bar_yehuda	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
99	bar_yehuda	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
100	gesher_paz	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
100	gesher_paz	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
100	gesher_paz	33	359.361	5.24943	1865.53	0	0	11.2851	0.292351	0	1	0	0	0	0	0	0	
101	merkazit_hamifratz	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
101	merkazit_hamifratz	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
101	merkazit_hamifratz	33	359.367	5.24943	2470.58	0	0	11.8035	0.292351	0	1	0	0	0	0	0	0	
102	lev_hamifratz	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
102	lev_hamifratz	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
102	lev_hamifratz	33	359.372	5.24943	3233.33	0	0	11.9402	0.292351	0	1	0	0	0	0	0	0	
103	batei_zikuk	11	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
103	batei_zikuk	22	-0	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-0	-0	-1.#IND	-1.#IND	-1.#IND	0	0	0	0	-1.#IND	
103	batei_zikuk	33	359.329	5.24943	4039.39	0	0	12.2694	0.292351	0	1	0	0	0	0	0	0	
