139	1	4	1	4628.03	4628.03	1	1	-0.72142	1	
130	1	4	1	4396.77	4396.77	1	1	-0.607952	1	
122	1	4	1	4271.59	4271.59	1	1	-0.674538	1	
127	1	4	1	4375.77	4375.77	1	1	-0.710311	1	
128	1	4	1	4381.35	4381.35	1	1	-0.792622	1	
133	1	4	1	4553.89	4553.89	1	1	-0.895717	1	
121	1	4	1	4218.13	4218.13	1	1	-0.193816	1	
149	1	4	1	4819.58	4819.58	1	1	-0.29686	1	
154	1	4	1	4878.67	4878.67	1	1	-0.38917	1	
155	1	4	1	4888.27	4888.27	1	1	-0.570947	1	
146	1	4	1	4733.66	4733.66	1	1	-0.865897	1	
141	1	4	1	4659.71	4659.71	1	1	-0.746261	1	
157	1	4	1	4916.12	4916.12	1	1	-0.809657	1	
148	1	4	1	4743.97	4743.97	1	1	-0.732171	1	
152	1	4	1	4864.56	4864.56	1	1	-0.619467	1	
158	1	4	1	4916.93	4916.93	1	1	-0.851858	1	
153	1	4	1	4867.95	4867.95	1	1	-0.564529	1	
150	1	4	1	4828.75	4828.75	1	1	-0.644549	1	
156	1	4	1	4907.37	4907.37	1	1	-0.689002	1	
140	1	4	1	4632.42	4632.42	1	1	-0.785917	1	
151	1	4	1	4859.11	4859.11	1	1	-0.369991	1	
143	1	4	1	4700.41	4700.41	1	1	-1.04884	1	
144	1	4	1	4703.09	4703.09	1	1	-0.497824	1	
145	1	4	1	4709.33	4709.33	1	1	-1.05751	1	
147	1	4	1	4742.85	4742.85	1	1	-1.00745	1	
142	1	4	1	4678.53	4678.53	1	1	-0.772109	1	
165	1	4	1	4994.97	4994.97	1	1	-0.861859	1	
175	1	4	1	5210.96	5210.96	1	1	-0.737762	1	
176	1	4	1	5303.2	5303.2	1	1	-0.86273	1	
168	1	4	1	5058.51	5058.51	1	1	-0.942648	1	
162	1	4	1	4965.92	4965.92	1	1	-0.533738	1	
166	1	4	1	5046.6	5046.6	1	1	-0.294272	1	
159	1	4	1	4924.98	4924.98	1	1	-0.566609	1	
167	1	4	1	5053.07	5053.07	1	1	-0.549374	1	
173	1	4	1	5195.64	5195.64	1	1	-0.263824	1	
174	1	4	1	5210.38	5210.38	1	1	-0.528064	1	
171	1	4	1	5142.44	5142.44	1	1	-0.663959	1	
177	1	4	1	5329.61	5329.61	1	1	-0.262128	1	
