links: 1129
periods: 1
periodlength: 15000
{	416417	120	}
{	417418	120	}
{	418419	120	}
{	419420	120	}
{	420421	120	}
{	421422	120	}
{	422423	120	}
{	423424	120	}
{	424425	120	}
{	425426	120	}
{	426427	120	}
{	427428	120	}
{	428429	120	}
{	429430	120	}
{	432400	120	}
{	430433	120	}
{	401400	120	}
{	402401	120	}
{	403402	120	}
{	404403	120	}
{	405404	120	}
{	406405	120	}
{	407406	120	}
{	408407	120	}
{	409408	120	}
{	410409	120	}
{	411410	120	}
{	412411	120	}
{	413412	120	}
{	414413	120	}
{	415414	120	}
{	416415	120	}
{	417416	120	}
{	418417	120	}
{	419418	120	}
{	420419	120	}
{	422420	120	}
{	423422	120	}
{	424423	120	}
{	425424	120	}
{	426425	120	}
{	427426	120	}
{	428427	120	}
{	429428	120	}
{	430429	120	}
{	434430	120	}
{	400435	120	}
{	10001001	120	}
{	10011002	120	}
{	10021003	120	}
{	10031004	120	}
{	10041005	120	}
{	10051006	120	}
{	10061007	120	}
{	1007417	120	}
{	4151011	120	}
{	10111012	120	}
{	10121013	120	}
{	10131014	120	}
{	10141015	120	}
{	10151016	120	}
{	10161017	120	}
{	10171018	120	}
{	10181019	120	}
{	10191020	120	}
{	10201021	120	}
{	1021405	120	}
{	4031025	120	}
{	10251026	120	}
{	10261027	120	}
{	10271028	120	}
{	10281029	120	}
{	10291030	120	}
{	10301031	120	}
{	10311032	120	}
{	10331000	120	}
{	10321034	120	}
{	10011000	120	}
{	10021001	120	}
{	10031002	120	}
{	10041003	120	}
{	10051004	120	}
{	10061005	120	}
{	10071006	120	}
{	4171007	120	}
{	1011415	120	}
{	10121011	120	}
{	10131012	120	}
{	10141013	120	}
{	10151014	120	}
{	10161015	120	}
{	10171016	120	}
{	10181017	120	}
{	10191018	120	}
{	10211019	120	}
{	4051021	120	}
{	1025403	120	}
{	10261025	120	}
{	10271026	120	}
{	10281027	120	}
{	10291028	120	}
{	10301029	120	}
{	10311030	120	}
{	10321031	120	}
{	10351032	120	}
{	10001036	120	}
{	30293000	120	}
{	3000427	120	}
{	4293005	120	}
{	30053006	120	}
{	30063007	120	}
{	30073008	120	}
{	30083009	120	}
{	30093010	120	}
{	30103011	120	}
{	30113012	120	}
{	30123013	120	}
{	30133014	120	}
{	30143015	120	}
{	30153016	120	}
{	3016416	120	}
{	4133021	120	}
{	30213022	120	}
{	30223023	120	}
{	30233024	120	}
{	30243025	120	}
{	30253028	120	}
{	30003030	120	}
{	4273000	120	}
{	3005429	120	}
{	30063005	120	}
{	30073006	120	}
{	30083007	120	}
{	30093008	120	}
{	30103009	120	}
{	30113010	120	}
{	30123011	120	}
{	30133012	120	}
{	30143013	120	}
{	30153014	120	}
{	30163015	120	}
{	4153016	120	}
{	3022413	120	}
{	30233022	120	}
{	30243023	120	}
{	30253024	120	}
{	30273025	120	}
{	20002001	120	}
{	20012002	120	}
{	20022003	120	}
{	20032004	120	}
{	2004412	120	}
{	4102008	120	}
{	20082009	120	}
{	20092010	120	}
{	20102011	120	}
{	20112012	120	}
{	20122013	120	}
{	20132014	120	}
{	20143009	120	}
{	30072018	120	}
{	20182019	120	}
{	20192020	120	}
{	20202021	120	}
{	20252000	120	}
{	20002026	120	}
{	20212020	120	}
{	20202019	120	}
{	20192018	120	}
{	20183007	120	}
{	30092014	120	}
{	20142013	120	}
{	20132012	120	}
{	20122011	120	}
{	20112010	120	}
{	20102009	120	}
{	20092008	120	}
{	2008409	120	}
{	4122004	120	}
{	20042003	120	}
{	20032002	120	}
{	20022001	120	}
{	20012000	120	}
{	20212024	120	}
{	20232021	120	}
{	76003005	120	}
{	20117610	120	}
{	76107611	120	}
{	76117612	120	}
{	76127613	120	}
{	76137614	120	}
{	76147615	120	}
{	76157616	120	}
{	76161031	120	}
{	10327620	120	}
{	76207621	120	}
{	76217622	120	}
{	76227623	120	}
{	76237624	120	}
{	76247625	120	}
{	76287600	120	}
{	76257631	120	}
{	30057600	120	}
{	76102011	120	}
{	76117610	120	}
{	76127611	120	}
{	76137612	120	}
{	76147613	120	}
{	76157614	120	}
{	76167615	120	}
{	10317616	120	}
{	76201032	120	}
{	76217620	120	}
{	76227621	120	}
{	76237622	120	}
{	76247623	120	}
{	76257624	120	}
{	76307625	120	}
{	76007629	120	}
{	22182230	120	}
{	22302231	120	}
{	22312232	120	}
{	22322233	120	}
{	22332234	120	}
{	22342235	120	}
{	22352236	120	}
{	22362237	120	}
{	22372238	120	}
{	22382200	120	}
{	22002201	120	}
{	22012202	120	}
{	22022203	120	}
{	22032204	120	}
{	22042205	120	}
{	22052206	120	}
{	22062207	120	}
{	22072208	120	}
{	22082209	120	}
{	22092210	120	}
{	22102211	120	}
{	22112212	120	}
{	22122213	120	}
{	22132214	120	}
{	22142215	120	}
{	22152216	120	}
{	22162217	120	}
{	22172221	120	}
{	22202217	120	}
{	22172216	120	}
{	22162215	120	}
{	22152214	120	}
{	22142213	120	}
{	22132212	120	}
{	22122211	120	}
{	22112210	120	}
{	22102209	120	}
{	22092208	120	}
{	22082207	120	}
{	22072206	120	}
{	22062205	120	}
{	22052204	120	}
{	22042203	120	}
{	22032202	120	}
{	22022201	120	}
{	22012200	120	}
{	22002238	120	}
{	22382237	120	}
{	22372236	120	}
{	22362235	120	}
{	22352234	120	}
{	22342233	120	}
{	22332232	120	}
{	22322231	120	}
{	22312230	120	}
{	22302219	120	}
{	36003601	120	}
{	36013602	120	}
{	36023603	120	}
{	36033604	120	}
{	36043605	120	}
{	36053606	120	}
{	36063607	120	}
{	36073608	120	}
{	36083609	120	}
{	36093610	120	}
{	36103611	120	}
{	36113612	120	}
{	36123613	120	}
{	36133614	120	}
{	36143615	120	}
{	36153616	120	}
{	36163617	120	}
{	36173618	120	}
{	36183619	120	}
{	36193620	120	}
{	36203621	120	}
{	36213622	120	}
{	36223623	120	}
{	36263600	120	}
